,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster
113,AL YALAYIS 1,921,17795916.9415,17470.9032612,25.01789354651752,55.309760200784766,0,0,0,4,0,7,2,6,6,2,1
114,NAKHLAT DEIRA,101,99617653.635,43895.4066745,25.338911611952394,55.26261953434848,0,0,0,2,0,0,0,0,0,0,1
115,SAIH SHUAIB 1,513,41613301.4166,28211.0043291,24.897900980770498,55.00296889372624,4,0,0,36,0,5,4,0,20,3,1
116,UMM NAHAD FIRST,911,14127046.5755,15579.5718399,25.064940850742758,55.38561922127565,2,5,0,17,2,5,4,10,55,5,1
117,UMM NAHAD SECOND,912,8523799.066739999,14403.5447479,25.05605924871969,55.3381461737325,3,0,0,24,2,3,5,0,35,1,1
118,AL ROWAIYAH THIRD,814,59997992.6011,36114.1289693,25.11627716054616,55.46798769214438,1,0,0,0,1,5,2,1,2,0,1
119,MARSA DUBAI,392,8881162.51242,13683.350335799998,25.08475081894301,55.135081834781396,21,28,3,239,131,151,133,97,83,130,0
120,NAKHLAT JUMEIRA,381,26741803.4319,22589.3826318,25.12067940828584,55.12856163397336,4,1,2,109,53,78,17,25,33,48,3
121,AL RAS,112,302711.324699,2712.99214762,25.26901102850375,55.29562583473755,33,15,4,133,57,69,109,16,101,133,2
122,AL DAGHAYA,113,176578.55202,1733.79033017,25.27262648415689,55.30003546533408,33,12,4,136,53,71,103,14,104,137,2
123,NADD AL HAMAR,416,8312233.5865,12989.912852299998,25.19777788066031,55.386297340726344,10,5,0,103,5,24,55,5,72,6,3
124,GHADEER BARASHY,967,70858924.2794,33492.8989064,24.806269117795612,55.323227417095254,0,0,0,1,1,1,0,0,0,0,1
125,AL LAYAN 1,987,28336104.5162,21453.7602442,24.793423118833214,55.12179581907812,0,0,0,0,0,0,4,0,0,0,1
126,AL TWAR THIRD,228,2967446.3710000007,6813.56925271,25.24954080621591,55.39587739812208,1,13,0,82,9,36,61,5,37,73,3
127,AL HEBIAH FIFTH,683,8093323.53263,11621.0727302,25.00775674169941,55.23871433946884,0,1,0,6,4,6,11,6,7,1,1
128,MARGAB,857,34633828.8366,24347.0074851,24.81078200677259,55.608821083217705,0,0,0,4,0,6,1,0,0,0,1
129,REMAH,851,82867940.6307,36841.28565,24.83811756171844,55.67114622926986,1,0,0,1,1,5,1,0,0,10,1
