CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon
AL QOUZ FOURTH,359,2238882.568,5987.09223021,25.151481116571837,55.254207927714965
AL MAHA,845,41733960.0894,34853.4645531,24.918946892346515,55.659209447216845
AL MURAQQABAT,124,1505474.7765,4867.41504145,25.26554127459338,55.32315234162383
MENA JABAL ALI,594,34842363.7324,53063.0341411,24.986435765843304,55.062952486427164
SAIH SHUAIB 2,531,22279220.8746,19362.1472713,24.86994660172757,55.05891053676095
SAIH AL SALAM,951,88690423.3337,42842.7132905,24.873043354709452,55.378612099022696
UMM NAHAD THIRD,913,15289681.7783,18436.7860307,25.031098304827267,55.42020514310355
AL YALAYIS 1,921,17795916.9415,17470.9032612,25.01789354651752,55.309760200784766
NAKHLAT DEIRA,101,99617653.635,43895.4066745,25.338911611952394,55.26261953434848
SAIH SHUAIB 1,513,41613301.4166,28211.0043291,24.897900980770498,55.00296889372624
UMM NAHAD FIRST,911,14127046.5755,15579.5718399,25.064940850742758,55.38561922127566
UMM NAHAD SECOND,912,8523799.06674,14403.5447479,25.05605924871969,55.3381461737325
AL ROWAIYAH THIRD,814,59997992.6011,36114.1289693,25.11627716054616,55.46798769214438
MARSA DUBAI,392,8881162.51242,13683.3503358,25.084750818943018,55.135081834781396
NAKHLAT JUMEIRA,381,26741803.4319,22589.3826318,25.120679408285838,55.128561633973355
AL RAS,112,302711.324699,2712.99214762,25.269011028503755,55.29562583473755
AL DAGHAYA,113,176578.55202,1733.79033017,25.272626484156888,55.300035465334076
NADD AL HAMAR,416,8312233.5865,12989.9128523,25.19777788066031,55.386297340726344
GHADEER BARASHY,967,70858924.2794,33492.8989064,24.80626911779561,55.323227417095254
AL LAYAN 1,987,28336104.5162,21453.7602442,24.79342311883322,55.121795819078116
AL TWAR THIRD,228,2967446.371,6813.56925271,25.24954080621591,55.39587739812208
AL HEBIAH FIFTH,683,8093323.53263,11621.0727302,25.00775674169941,55.238714339468835
MARGAB,857,34633828.8366,24347.0074851,24.810782006772587,55.608821083217705
REMAH,851,82867940.6307,36841.28565,24.838117561718438,55.67114622926987
AL QUSAIS SECOND,233,1791180.188,5345.32662446,25.269362123399556,55.38720790041579
AL YALAYIS 4,924,13235536.979,14984.5129599,24.96585085347894,55.32006244858411
RAS AL KHOR IND. SECOND,613,4173756.228,8234.96044565,25.177525031799238,55.35751136724246
AL BUTEEN,114,147788.087322,1571.08872108,25.268688816400644,55.299746339918094
WADI ALSHABAK,431,10541064.6533,13832.63591,25.176204521804948,55.48403699152866
WADI AL SAFA 7,665,8407907.41113,12827.3568919,25.03982021862785,55.285584544136476
AL BARSHA FIRST,373,3954266.281,9408.60209789,25.111030625085498,55.194978112576734
BURJ KHALIFA,345,2660075.45919,6788.52186503,25.19516818186388,55.275712062845855
BUSINESS BAY,346,6586257.00525,12890.6678136,25.183161529377433,55.270744630389025
ZAA'BEEL FIRST,325,4120079.3465,8793.46450571,25.223655837447005,55.30538572056361
ME'AISEM SECOND,686,10430083.9815,15227.3447856,24.996293336570012,55.218464085836686
AL BARSHA SOUTH FIRST,671,5900197.1915,11324.767355,25.08666135416662,55.23095868493998
AL QUSAIS IND. FIFTH,248,2395554.953,6652.78840519,25.286586455305542,55.414571915650264
ZAA'BEEL SECOND,337,10792102.1947,15494.2797439,25.202565086223537,55.29632261909079
AL WASL,343,4872908.64538,9605.82182453,25.19639371305704,55.25505369097882
UMM AL MO'MENEEN,835,32691452.4566,24767.184419,24.99114436818488,55.5122297254845
JABAL ALI INDUSTRIAL SECOND,518,32565002.0182,23489.8501786,24.954688358577187,55.10503206968355
MARGHAM,841,152594542.121,50952.1583284,24.945650337546898,55.588202630842105
AL HEBIAH THIRD,676,4304796.09967,8650.08138354,25.02244944626538,55.254546746662726
AL WARQA'A FIRST,421,2356626.8865,6217.99155894,25.18750620032887,55.40280529626891
AL SELAL,961,170670828.433,52428.4828527,24.891089047021474,55.27569792700118
AL BARSHA SOUTH THIRD,673,3743682.722,8291.53259462,25.060672016813673,55.236511966136455
MUSHRAIF,252,10472738.8101,15015.4572394,25.2113824484829,55.450032587852974
RAS AL KHOR,413,7793549.15516,12420.9268956,25.194005335008658,55.32780247262788
AL MIZHAR FIRST,262,6864620.9595,10735.8777795,25.244928543425075,55.44163932384505
ME'AISEM FIRST,685,16423985.395,16671.0606149,25.02049127078058,55.18787818623929
AL YUFRAH 1,915,17499991.416,19106.4038112,25.00241416315309,55.43254840864607
AL BARSHA SOUTH FIFTH,684,2951378.61807,10868.9366587,25.044857040076344,55.18668768869522
AL KHWANEEJ FIRST,281,16411872.5613,16552.0361657,25.244715051108848,55.48710216165145
AL BARSHA THIRD,375,4946791.4525,10125.6919843,25.09215370710051,55.19869307299563
AL MUTEENA,123,1113041.985,4318.7577921,25.273946924371636,55.32282215772934
TRADE CENTER FIRST,335,834875.9415,7303.94838394,25.218798395174343,55.27891163334001
AL QUSAIS FIRST,232,2731428.711,6803.77605807,25.278071503724362,55.37245194843632
AL QOUZ IND.SECOND,365,5051233.367,9103.38964403,25.134002981873092,55.24791395555497
AL WARQA'A FOURTH,424,5145410.9595,9230.89818575,25.18625489068643,55.43742684641669
AL BARSHA SOUTH FOURTH,681,6803189.215,10100.3133961,25.058397173521772,55.20884578062583
AL RAFFA,316,1228290.5805,5176.3007187,25.25442202827949,55.28825088515984
DUBAI INT'L AIRPORT,221,14180715.881,18275.2777603,25.25190285915708,55.36792018539773
AL SATWA,334,2692886.2335,8492.47964949,25.219949639350958,55.27343201463528
BU KADRA,611,1745153.07612,5529.75452435,25.176762909538276,55.32584402042913
AL MIZHAR SECOND,263,4306286.2295,8811.9177295,25.24297069993067,55.46039901798005
WARSAN SECOND,622,8626151.82366,12691.4816354,25.158677936120196,55.43688729393313
AL SAFOUH SECOND,382,4279072.41584,9678.808922,25.101707733718747,55.16172702291636
UMM HURAIR SECOND,315,3397079.15447,9197.75642187,25.236429515716516,55.32374054349637
AL WARQA'A FIFTH,425,4252120.37,8301.73739694,25.18025538034898,55.45388027925236
AL JADAF,326,7240334.25468,13184.2038157,25.216439326047407,55.32768690818115
DUBAI INVESTMENT PARK SECOND,597,18774204.2925,17568.8918382,24.974032111476504,55.210446201776804
AL KHEERAN,412,6313593.76845,13348.0279967,25.218427518905287,55.359357737384975
MUHAISANAH SECOND,264,5577576.861,9912.01660727,25.26424758702673,55.421978562990105
AL HEBIAH SIXTH,677,3268265.38822,8728.07331555,25.01726539163493,55.26760243239791
JUMEIRA ISLAND 2,304,116673.336017,1797.92202689,25.198317298010632,55.2261844567985
UMM HURAIR FIRST,314,984710.391277,4573.28199772,25.25385241374033,55.31212712712714
AL SAFOUH FIRST,372,5871946.71754,10897.518018,25.12044033188613,55.1830275720953
JUMEIRA SECOND,342,3342284.5614,9457.35034016,25.200868374460583,55.240269508054794
TRADE CENTER SECOND,336,1379918.90077,8920.12803696,25.217663390995114,55.28270078440499
WARSAN FOURTH,624,7865352.8044,12740.1077556,25.142920464995168,55.40548697810891
AL YALAYIS 5,925,25164171.913,20113.0846537,24.972204964008753,55.266040938102336
MUHAISANAH FIFTH,267,1961509.1155,5797.20082872,25.279277870608812,55.43328579398505
RAS AL KHOR IND. THIRD,614,5448028.0465,9603.37696726,25.17366695907255,55.38182969953145
DUBAI INVESTMENT PARK FIRST,598,17167002.8834,16628.1438982,24.988183329632516,55.16507721674868
SAIH SHUAIB 4,533,19368410.9563,18196.5821614,24.823718064427265,55.096080000515066
LE HEMAIRA,826,36413376.7332,30666.9998996,25.034581424030538,55.49441637895008
AL MANARA,363,2194559.62862,6193.80251899,25.14423216723838,55.21449456378058
AL THANYAH FIFTH,393,9714165.18111,17231.7742239,25.055814550850023,55.15426452926244
AL THANYAH FIRST,383,1069719.845,4163.72672303,25.098330655281746,55.175850994236455
NADD SHAMMA,213,1092960.7335,4778.47839219,25.216576327409378,55.3842167111473
NAKHLAT JABAL ALI,501,58101543.4134,27733.5251132,25.008927300510354,54.98758825673599
AL SHINDAGHA,311,310840.284844,3577.12151134,25.266817771100342,55.289105073477344
JABAL ALI FIRST,591,21323936.1671,19717.7186612,25.033914107916104,55.133289665880895
AL BARSHA SOUTH SECOND,672,4767353.328,9516.22108021,25.07294707600615,55.23378606002047
AL MERKADH,347,10355202.6476,14582.0520424,25.17041080340519,55.29250216913851
AL YUFRAH 2,916,4331598.8317,8918.65464649,24.99052991571141,55.38766707703429
MADINAT DUBAI AL MELAHEYAH,321,22091345.7586,21304.9448646,25.274531182487493,55.2698919239323
AL YUFRAH 3,918,11109840.8416,17297.0212197,24.98653979498292,55.36346093712165
AL SOUQ AL KABEER,312,874944.983171,4433.15867152,25.262251050065988,55.29369782222706
NADD AL SHIBA FIRST,618,21673127.8304,19993.8117592,25.14597418206671,55.316716692263945
AL AWIR FIRST,711,39716134.689,35058.0810308,25.199295071803444,55.571625108265685
OUD AL MUTEENA FIRST,265,3628020.766,8689.16453474,25.264007368078417,55.44543437686973
JABAL ALI SECOND,592,5059596.0639,10664.7225181,25.05397917886128,55.115281871074764
AL WARQA'A THIRD,423,6220073.248,11601.4338877,25.191154065095326,55.42195130791831
AL KHEERAN FIRST,415,7334275.12402,11543.4777434,25.19757845369391,55.35767521748997
AL MARMOOM,917,27326474.0172,24214.0171757,24.975619474474104,55.45176566912071
AL BARSHA SECOND,376,6411368.0465,10209.099291,25.10085439709697,55.21496955495408
JABAL ALI THIRD,593,365014170.612,122334.492899,25.126252796510727,54.947060105859975
AL KHABAISI,128,1226749.013,5559.09171857,25.268728879013743,55.3375453170401
AL MURAR,117,387711.066,2782.85204781,25.27689263146278,55.309828005741984
HADAEQ SHEIKH MOHAMMED BIN RASHID,631,38677198.8453,35079.3628178,25.098246398441137,55.268769696708304
AL HAMRIYA PORT,131,1150984.31619,5277.18258262,25.300712118269598,55.333390179153334
UMM NAHAD FOURTH,914,46008453.1147,28727.0025501,25.026537149947817,55.366690878288054
AL AWIR SECOND,721,54944834.2494,33677.9952932,25.164395222422776,55.58558308287962
AL QOUZ IND.FIRST,364,4825398.4545,8843.46006275,25.14438143561766,55.23202376455151
JUMEIRA FIRST,332,9960424.67483,15279.0784101,25.229747463436265,55.253888716267426
MEREIYEEL,821,30688142.3777,26755.1135353,25.095226482429425,55.51289656429359
PORT SAEED,129,2702123.35766,10392.4906323,25.25100645812056,55.33271844512805
JABAL ALI INDUSTRIAL FIRST,599,22065249.6621,19668.9484714,24.99945515892882,55.12351891174232
WADI ALAMARDI,271,24184196.9742,20723.4293973,25.203260674757427,55.49109670874484
