,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital
124,GHADEER BARASHY,967,70858924.2794,33492.8989064,24.806269117795612,55.323227417095254,0
125,AL LAYAN 1,987,28336104.5162,21453.7602442,24.793423118833218,55.12179581907812,0
126,AL TWAR THIRD,228,2967446.3710000003,6813.56925271,25.24954080621591,55.39587739812208,4
127,AL HEBIAH FIFTH,683,8093323.53263,11621.0727302,25.00775674169941,55.23871433946884,0
128,MARGAB,857,34633828.8366,24347.0074851,24.81078200677259,55.608821083217705,0
129,REMAH,851,82867940.6307,36841.28565,24.83811756171844,55.671146229269866,0
130,AL QUSAIS SECOND,233,1791180.188,5345.32662446,25.269362123399556,55.387207900415795,7
131,AL YALAYIS 4,924,13235536.979,14984.512959900001,24.96585085347894,55.32006244858411,0
132,RAS AL KHOR IND. SECOND,613,4173756.228,8234.96044565,25.17752503179924,55.35751136724246,3
133,AL BUTEEN,114,147788.087322,1571.08872108,25.268688816400644,55.2997463399181,18
134,WADI ALSHABAK,431,10541064.6533,13832.635909999999,25.176204521804948,55.484036991528654,2
135,WADI AL SAFA 7,665,8407907.41113,12827.3568919,25.039820218627852,55.285584544136476,1
136,AL BARSHA FIRST,373,3954266.2810000004,9408.60209789,25.111030625085498,55.19497811257674,5
137,BURJ KHALIFA,345,2660075.4591900003,6788.52186503,25.19516818186388,55.27571206284586,9
138,BUSINESS BAY,346,6586257.00525,12890.667813600001,25.183161529377433,55.27074463038903,9
139,ZAA'BEEL FIRST,325,4120079.3465,8793.46450571,25.223655837447005,55.30538572056361,32
140,ME'AISEM SECOND,686,10430083.9815,15227.3447856,24.99629333657001,55.218464085836686,0
141,AL BARSHA SOUTH FIRST,671,5900197.1915,11324.767355,25.086661354166623,55.23095868493998,3
142,AL QUSAIS IND. FIFTH,248,2395554.953,6652.78840519,25.286586455305546,55.41457191565026,2
143,ZAA'BEEL SECOND,337,10792102.1947,15494.2797439,25.202565086223537,55.29632261909079,6
144,AL WASL,343,4872908.645380001,9605.82182453,25.19639371305704,55.25505369097882,15
145,UMM AL MO'MENEEN,835,32691452.4566,24767.184419,24.99114436818488,55.5122297254845,1
146,JABAL ALI INDUSTRIAL SECOND,518,32565002.0182,23489.850178599998,24.95468835857719,55.105032069683546,1
147,MARGHAM,841,152594542.121,50952.1583284,24.94565033754689,55.588202630842105,0
148,AL HEBIAH THIRD,676,4304796.099669999,8650.08138354,25.022449446265377,55.25454674666273,1
149,AL WARQA'A FIRST,421,2356626.8865,6217.99155894,25.18750620032887,55.4028052962689,4
150,AL SELAL,961,170670828.433,52428.48285269999,24.891089047021474,55.27569792700118,0
151,AL BARSHA SOUTH THIRD,673,3743682.722,8291.53259462,25.060672016813673,55.23651196613646,4
152,MUSHRAIF,252,10472738.8101,15015.457239399999,25.2113824484829,55.450032587852974,4
153,RAS AL KHOR,413,7793549.155160001,12420.9268956,25.194005335008654,55.32780247262788,3
154,AL MIZHAR FIRST,262,6864620.9595,10735.8777795,25.244928543425072,55.441639323845045,6
155,ME'AISEM FIRST,685,16423985.395,16671.060614899998,25.020491270780578,55.18787818623929,0
156,AL YUFRAH 1,915,17499991.415999997,19106.4038112,25.00241416315309,55.43254840864607,0
157,AL BARSHA SOUTH FIFTH,684,2951378.61807,10868.9366587,25.04485704007634,55.18668768869522,0
158,AL KHWANEEJ FIRST,281,16411872.5613,16552.0361657,25.24471505110885,55.48710216165145,2
159,AL BARSHA THIRD,375,4946791.4525,10125.6919843,25.09215370710051,55.19869307299563,6
160,AL MUTEENA,123,1113041.985,4318.7577921,25.27394692437164,55.32282215772934,20
161,TRADE CENTER FIRST,335,834875.9415,7303.94838394,25.218798395174346,55.27891163334001,14
162,AL QUSAIS FIRST,232,2731428.711,6803.77605807,25.27807150372436,55.372451948436314,12
163,AL QOUZ IND.SECOND,365,5051233.367,9103.38964403,25.13400298187309,55.24791395555497,7
164,AL WARQA'A FOURTH,424,5145410.9595,9230.89818575,25.18625489068643,55.437426846416685,2
165,AL BARSHA SOUTH FOURTH,681,6803189.215,10100.3133961,25.058397173521772,55.20884578062583,0
166,AL RAFFA,316,1228290.5805,5176.3007187,25.25442202827949,55.28825088515985,20
167,DUBAI INT'L AIRPORT,221,14180715.881,18275.2777603,25.251902859157077,55.36792018539773,14
168,AL SATWA,334,2692886.2335,8492.47964949,25.21994963935096,55.273432014635276,13
169,BU KADRA,611,1745153.07612,5529.75452435,25.176762909538283,55.32584402042914,3
170,AL MIZHAR SECOND,263,4306286.2295,8811.9177295,25.242970699930673,55.46039901798005,3
171,WARSAN SECOND,622,8626151.823660001,12691.4816354,25.1586779361202,55.43688729393313,0
172,AL SAFOUH SECOND,382,4279072.41584,9678.808922,25.101707733718747,55.16172702291635,9
173,UMM HURAIR SECOND,315,3397079.15447,9197.75642187,25.23642951571652,55.32374054349637,38
174,AL WARQA'A FIFTH,425,4252120.37,8301.73739694,25.18025538034898,55.45388027925236,2
175,AL JADAF,326,7240334.25468,13184.2038157,25.21643932604741,55.32768690818115,27
176,DUBAI INVESTMENT PARK SECOND,597,18774204.2925,17568.8918382,24.974032111476504,55.2104462017768,0
177,AL KHEERAN,412,6313593.76845,13348.0279967,25.218427518905287,55.359357737384975,2
178,MUHAISANAH SECOND,264,5577576.8610000005,9912.01660727,25.26424758702673,55.421978562990105,1
179,AL HEBIAH SIXTH,677,3268265.38822,8728.07331555,25.017265391634933,55.26760243239791,0
180,JUMEIRA ISLAND 2,304,116673.33601700001,1797.92202689,25.19831729801063,55.2261844567985,11
181,UMM HURAIR FIRST,314,984710.3912770001,4573.28199772,25.25385241374033,55.31212712712714,46
182,AL SAFOUH FIRST,372,5871946.717540001,10897.518018,25.12044033188613,55.1830275720953,6
183,JUMEIRA SECOND,342,3342284.5614,9457.35034016,25.200868374460587,55.2402695080548,15
184,TRADE CENTER SECOND,336,1379918.9007700002,8920.12803696,25.21766339099511,55.282700784404994,15
185,WARSAN FOURTH,624,7865352.8044,12740.1077556,25.14292046499517,55.405486978108904,2
186,AL YALAYIS 5,925,25164171.913000003,20113.0846537,24.972204964008757,55.26604093810234,0
187,MUHAISANAH FIFTH,267,1961509.1155,5797.20082872,25.279277870608805,55.43328579398504,3
188,RAS AL KHOR IND. THIRD,614,5448028.0465,9603.37696726,25.173666959072552,55.38182969953145,4
189,DUBAI INVESTMENT PARK FIRST,598,17167002.8834,16628.1438982,24.98818332963252,55.16507721674868,2
190,SAIH SHUAIB 4,533,19368410.9563,18196.5821614,24.823718064427265,55.09608000051506,0
191,LE HEMAIRA,826,36413376.7332,30666.9998996,25.034581424030534,55.49441637895008,0
192,AL MANARA,363,2194559.62862,6193.80251899,25.14423216723838,55.214494563780576,9
193,AL THANYAH FIFTH,393,9714165.18111,17231.774223900004,25.055814550850023,55.154264529262434,4
194,AL THANYAH FIRST,383,1069719.845,4163.72672303,25.098330655281742,55.17585099423646,7
195,NADD SHAMMA,213,1092960.7335,4778.47839219,25.216576327409378,55.384216711147296,4
196,NAKHLAT JABAL ALI,501,58101543.4134,27733.5251132,25.008927300510354,54.98758825673599,0
197,AL SHINDAGHA,311,310840.284844,3577.12151134,25.266817771100346,55.289105073477344,15
198,JABAL ALI FIRST,591,21323936.1671,19717.7186612,25.033914107916107,55.1332896658809,3
199,AL BARSHA SOUTH SECOND,672,4767353.328,9516.22108021,25.07294707600615,55.23378606002046,4
200,AL MERKADH,347,10355202.6476,14582.052042399999,25.17041080340519,55.29250216913851,2
201,AL YUFRAH 2,916,4331598.8317,8918.65464649,24.990529915711413,55.387667077034294,0
202,MADINAT DUBAI AL MELAHEYAH,321,22091345.7586,21304.9448646,25.274531182487486,55.26989192393229,6
203,AL YUFRAH 3,918,11109840.8416,17297.0212197,24.98653979498292,55.36346093712165,0
204,AL SOUQ AL KABEER,312,874944.9831709999,4433.15867152,25.262251050065988,55.29369782222706,19
205,NADD AL SHIBA FIRST,618,21673127.8304,19993.8117592,25.145974182066713,55.31671669226394,3
206,AL AWIR FIRST,711,39716134.689,35058.0810308,25.199295071803444,55.571625108265685,0
207,OUD AL MUTEENA FIRST,265,3628020.7660000003,8689.16453474,25.264007368078413,55.44543437686973,3
208,JABAL ALI SECOND,592,5059596.0639,10664.722518100001,25.05397917886128,55.11528187107477,3
209,AL WARQA'A THIRD,423,6220073.248,11601.433887700001,25.19115406509533,55.42195130791831,3
210,AL KHEERAN FIRST,415,7334275.12402,11543.4777434,25.19757845369391,55.35767521748997,3
211,AL MARMOOM,917,27326474.0172,24214.0171757,24.975619474474104,55.45176566912071,0
212,AL BARSHA SECOND,376,6411368.0465,10209.099291,25.100854397096967,55.21496955495408,5
213,JABAL ALI THIRD,593,365014170.612,122334.492899,25.12625279651073,54.947060105859975,0
214,AL KHABAISI,128,1226749.013,5559.09171857,25.268728879013747,55.3375453170401,23
215,AL MURAR,117,387711.066,2782.85204781,25.27689263146278,55.30982800574198,10
216,HADAEQ SHEIKH MOHAMMED BIN RASHID,631,38677198.8453,35079.3628178,25.098246398441137,55.2687696967083,2
217,AL HAMRIYA PORT,131,1150984.31619,5277.18258262,25.3007121182696,55.33339017915333,9
218,UMM NAHAD FOURTH,914,46008453.1147,28727.0025501,25.026537149947814,55.36669087828805,0
219,AL AWIR SECOND,721,54944834.2494,33677.9952932,25.164395222422772,55.58558308287962,0
220,AL QOUZ IND.FIRST,364,4825398.4545,8843.46006275,25.14438143561766,55.232023764551506,9
221,JUMEIRA FIRST,332,9960424.67483,15279.0784101,25.229747463436265,55.25388871626743,9
222,MEREIYEEL,821,30688142.3777,26755.1135353,25.095226482429428,55.51289656429359,0
223,PORT SAEED,129,2702123.3576599997,10392.4906323,25.25100645812056,55.33271844512805,40
224,JABAL ALI INDUSTRIAL FIRST,599,22065249.6621,19668.948471400003,24.999455158928818,55.12351891174232,3
225,WADI ALAMARDI,271,24184196.9742,20723.4293973,25.203260674757427,55.49109670874484,1
