,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Sector,CNAME_E,CNAME_A,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter
67,366,2605935.23264,8209.10763688,25.138900227682253,55.193551716589425,Sector 3,UM SUQAIM THIRD,ام سقيم الثالثة,6806.0,7021.0,7520.0,2885.7202227477073,7.107249679532823,2 < x <= 20,1000 < x <= 10k,1
68,941,91826478.8812,41094.5229103,24.855344455914864,55.514949491449954,Sector 9,GRAYTEESAH,قريطيسه,55.0,55.0,55.0,0.5989557769187246,0.0,-2 < x <=2,0< x <= 10 ,1
69,355,5324591.09775,9575.22812838,25.150970364664346,55.271131354242286,Sector 3,AL GOZE SECOND,القوز الثانية,4463.0,4551.0,5240.0,984.1131279008927,15.13952977367612,2 < x <= 20,10 < x <1000,1
70,923,12340311.9043,16043.272398899999,24.97341888812417,55.34571461438204,Sector 9,AL YALAYIS 3,اليلايس 3,4.0,4.0,4.0,0.3241409156446195,0.0,-2 < x <=2,0< x <= 10 ,1
71,502,124735324.01,49534.3111447,24.989467989214358,54.90485047873428,Sector 5,AL WAJEHAH AL BHARIYAH,الواجهة البحرية,4.0,4.0,4.0,0.032067900827189265,0.0,-2 < x <=2,0< x <= 10 ,1
72,861,76472908.38,37281.559311000005,24.764473462984448,55.67104849881567,Sector 8,YARAAH,يراح,88.0,94.0,94.0,1.2291934750657905,0.0,-2 < x <=2,0< x <= 10 ,1
73,319,1515958.3365,5255.198421600001,25.23759763419334,55.312227103650386,Sector 3,OUD METHA,عود ميثاء,13364.0,13616.0,14901.0,9829.425810212562,9.43742655699178,2 < x <= 20,1000 < x <= 10k,1
74,244,1753300.7565,5783.03483409,25.271802551224013,55.4042750072505,Sector 2,MUHAISANAH THIRD,محيصنة الثالثة,5950.0,6129.0,6493.0,3703.3007462801493,5.938978626203295,2 < x <= 20,1000 < x <= 10k,1
75,626,9804465.2285,13833.158974099999,25.124325353925425,55.386268264952506,Sector 6,NADD HESSA,ند حصة,34074.0,35361.0,38494.0,3926.1702808740806,8.860043550804564,2 < x <= 20,1000 < x <= 10k,1
76,302,990538.9212620001,8026.36895076,25.215839919611913,55.23358222609772,Sector 3,JUMEIRA BAY,شاطئ جميرا,20.0,39.0,39.0,39.37250638300198,0.0,-2 < x <=2,10 < x <1000,1
77,621,8426532.67816,11420.0158654,25.16521045611041,55.409833079665184,Sector 6,WARSAN FIRST,ورسان الأولى,94460.0,97159.0,106072.0,12587.85838152848,9.173622618594269,2 < x <= 20,10k < x <= 50k,1
78,682,9145533.766730001,12792.8661567,25.031898465217573,55.21960996296431,Sector 6,AL HEBIAH FOURTH,الحبيه الرابعة,13422.0,18789.0,20611.0,2253.66835066309,9.697163233807004,2 < x <= 20,1000 < x <= 10k,1
79,388,3842456.33894,8778.52119434,25.085130469004913,55.16612470037834,Sector 3,AL THANYAH THIRD (EMIRATE HILLS SECOND),الثنيه الثالثة (تلال الامارات الثانية),12025.0,17737.0,21442.0,5580.284617083014,20.888538084230703,20 < x <= 100,1000 < x <= 10k,1
80,384,6228059.32645,10798.3735952,25.080095478819214,55.190708337052286,Sector 3,AL THANYAH SECOND (JEBEL ALI HORSE RACING),الثنيه الثانية (مضمار جبل علي),115.0,115.0,115.0,18.46482089719433,0.0,-2 < x <=2,10 < x <1000,1
