,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital,Sector,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter,HF_per_Pop,HF_per_k_Pop
40,OUD AL MUTEENA SECOND,266,2426490.143,6192.19181398,25.264136016176835,55.464280221327094,2,Sector 2,4780.0,5047.0,5506.0,2269.121107243665,9.094511591044173,2 < x <= 20,1000 < x <= 10k,1,0.0003632401017072285,0.3632401017072285
41,AL SABKHA,115,73089.6975235,1397.45141963,25.269250288342427,55.30227890921035,19,Sector 1,3750.0,3861.0,3969.0,54303.138944088205,2.7972027972027917,2 < x <= 20, > 50k,1,0.004787100025195263,4.787100025195263
42,MADINAT AL MATAAR,521,141835173.57299998,49060.5322731,24.90563693456137,55.15445662727495,0,Sector 5,2183.0,2183.0,2697.0,19.015029432116872,23.545579477782866,20 < x <= 100,10 < x <1000,1,0.0,0.0
43,UMM RAMOOL,215,3646885.8155,7916.000112999999,25.23021001986388,55.368244115872116,5,Sector 2,2829.0,3545.0,2935.0,804.7962421871445,-17.20733427362482,-20< x <= -2 ,10 < x <1000,1,0.0017035775127768314,1.7035775127768313
44,ALEYAS,283,10519148.5736,13392.0095017,25.21097947878715,55.53734573944228,0,Sector 2,1690.0,1706.0,1757.0,167.02872743993353,2.9894490035170085,2 < x <= 20,10 < x <1000,1,0.0,0.0
45,AL QOUZ IND.FOURTH,369,4689056.9365,8718.60800086,25.116064362470656,55.23313467247366,4,Sector 3,38240.0,38280.0,38079.0,8120.822697542862,-0.5250783699059514,-2 < x <=2,1000 < x <= 10k,1,0.00010504477533548675,0.10504477533548676
46,AL KIFAF,324,795645.972999,4051.71075523,25.23442687328821,55.29699494362937,43,Sector 3,2.0,2.0,2.0,2.5136807925533406,0.0,-2 < x <=2,0< x <= 10 ,1,21.5,21500.0
47,AL NAHDA FIRST,231,1696333.86236,7263.66566496,25.29015944157323,55.36426152433569,13,Sector 2,23760.0,29011.0,31449.0,18539.3929213009,8.40370893798903,2 < x <= 20,10k < x <= 50k,1,0.0004133676746478425,0.4133676746478425
48,AL RIGGA,119,654291.39101,3702.84455002,25.26695014795661,55.310716227939814,20,Sector 1,9976.0,10279.0,10480.0,16017.328279105886,1.9554431364918743,-2 < x <=2,10k < x <= 50k,1,0.0019083969465648854,1.9083969465648856
49,UMM AL SHEIF,367,1847928.47344,5469.96326248,25.13136563746466,55.20449973712785,6,Sector 3,3946.0,4097.0,4367.0,2363.186704878592,6.5901879423968746,2 < x <= 20,1000 < x <= 10k,1,0.0013739409205404168,1.3739409205404167
50,AYAL NASIR,116,173100.0775,1686.75970564,25.274221658311586,55.30395175524322,13,Sector 1,18512.0,18925.0,19280.0,111380.65492778303,1.8758256274768792,-2 < x <=2, > 50k,1,0.0006742738589211618,0.6742738589211619
51,LEHBAB SECOND,831,62307557.0067,39399.8343213,25.027683651157915,55.56188494252486,0,Sector 8,1264.0,1363.0,1511.0,24.250669944217528,10.858400586940565,2 < x <= 20,10 < x <1000,1,0.0,0.0
52,MANKHOOL,317,1960287.932,5810.5450137,25.249051047302352,55.294919143063744,37,Sector 3,36808.0,37400.0,40091.0,20451.587415067555,7.195187165775407,2 < x <= 20,10k < x <= 50k,1,0.0009229004015863909,0.922900401586391
53,WADI AL SAFA 6,664,7811939.7189,13382.279683399998,25.051177997118288,55.2717241415596,4,Sector 6,12380.0,16179.0,18213.0,2331.4312008752386,12.571852401260884,2 < x <= 20,1000 < x <= 10k,1,0.00021962334596167574,0.21962334596167574
54,AL MERYAL,735,15458746.5814,17454.2439879,25.070311906414,55.645756361452754,0,Sector 7,718.0,727.0,754.0,48.77497642061193,3.713892709766165,2 < x <= 20,10 < x <1000,1,0.0,0.0
55,AL ROWAIYAH SECOND,813,7485660.499739999,11694.6804508,25.105291961139503,55.39808446614008,1,Sector 8,25.0,25.0,25.0,3.3397186528654794,0.0,-2 < x <=2,0< x <= 10 ,1,0.04,40.0
56,AL YALAYIS 2,922,14349077.2492,16427.2421787,24.99713070902915,55.2901316086453,0,Sector 9,217.0,217.0,1364.0,95.05837736541885,528.5714285714286, > 100,10 < x <1000,1,0.0,0.0
57,AL QUSAIS IND. FIRST,242,1437921.9045,5287.92130151,25.28668888290523,55.386574853717,8,Sector 2,8181.0,8362.0,9369.0,6515.652881202771,12.042573546998335,2 < x <= 20,1000 < x <= 10k,1,0.0008538798164158394,0.8538798164158394
58,HESSYAN SECOND,512,51898450.1316,41905.7022796,24.93162186177311,54.94820308454422,0,Sector 5,45.0,45.0,45.0,0.8670779163133494,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
59,HOR AL ANZ EAST,133,1377275.1565,4804.76205035,25.282602238762852,55.347374526209094,16,Sector 1,19961.0,20847.0,21218.0,15405.781408212019,1.7796325610399677,-2 < x <=2,10k < x <= 50k,1,0.0007540767273070035,0.7540767273070035
60,AL CORNICHE,111,611325.1339029999,3960.31529984,25.277837157981683,55.30255685689298,11,Sector 1,1550.0,1655.0,1735.0,2838.0969532904824,4.833836858006047,2 < x <= 20,1000 < x <= 10k,1,0.006340057636887608,6.340057636887608
61,WADI AL SAFA 3,645,30192055.8013,29186.4146517,25.10811460152823,55.31549372007481,0,Sector 6,4895.0,9599.0,9764.0,323.3963286322353,1.7189290551099083,-2 < x <=2,10 < x <1000,1,0.0,0.0
62,AL QOUZ IND.THIRD,368,4402947.392,8766.27347181,25.125754536447676,55.21798387584786,6,Sector 3,23995.0,25360.0,26656.0,6054.126390070663,5.110410094637219,2 < x <= 20,1000 < x <= 10k,1,0.00022509003601440576,0.22509003601440578
63,SAIH AL DAHAL,971,190161473.462,68235.0122663,24.73651382193881,55.42080078414522,0,Sector 9,16.0,16.0,16.0,0.08413901990088063,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
64,NADD AL SHIBA FOURTH,617,6169341.6421,10239.581805,25.136203182072805,55.36420889065845,1,Sector 6,2525.0,3505.0,3685.0,597.3084672201186,5.135520684736084,2 < x <= 20,10 < x <1000,1,0.000271370420624152,0.27137042062415195
65,WADI AL SAFA 2,643,10531420.0915,13742.5327314,25.10044847275232,55.35289987571095,0,Sector 6,7865.0,9623.0,10519.0,998.8206631781765,9.311025667671213,2 < x <= 20,10 < x <1000,1,0.0,0.0
66,HATTA,891,128751709.742,53110.4733717,24.81021325439707,56.13918037702839,1,Sector 8,12769.0,13295.0,14045.0,109.08593002876755,5.6412185031967,2 < x <= 20,10 < x <1000,1,7.119971520113919e-05,0.0711997152011392
67,UMM SUQEIM THIRD,366,2605935.23264,8209.10763688,25.138900227682253,55.19355171658943,5,Sector 3,6806.0,7021.0,7520.0,2885.7202227477073,7.107249679532822,2 < x <= 20,1000 < x <= 10k,1,0.0006648936170212766,0.6648936170212766
68,GRAYTEESAH,941,91826478.8812,41094.5229103,24.855344455914864,55.514949491449954,0,Sector 9,55.0,55.0,55.0,0.5989557769187246,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
